,Optimizer,Hyperoptimizer,Test Accuracy,Test Error,alpha,mu
0,SGD,NoOp,82.760,17.240,0.10000000149011612,0.8999999761581421
1,SGD,SGD,70.900,29.100,0.0037705821450799704,0.08999007940292358
2,SGD,SGD,81.880,18.120,0.00974123552441597,0.8999999761581421
3,SGD,SGD,82.450,17.550,0.009967120364308357,0.9900000095367432
4,SGD,SGD,80.680,19.320,0.5278870463371277,-0.013035614043474197
5,SGD,SGD,79.550,20.450,0.7506940960884094,0.49785465002059937
6,SGD,SGD,21.660,78.340,0.9225898385047913,0.8112973570823669
7,SGD,SGD,79.970,20.030,0.054150767624378204,0.08878066390752792
8,SGD,SGD,83.730,16.270,0.09647516161203384,0.8991591930389404
9,SGD,SGD,82.050,17.950,0.09863964468240738,0.9896580576896667
